Co.,URL
AT&T,https://www.investing.com/equities/at-t
AMD,https://www.investing.com/equities/adv-micro-device
Apple,https://www.investing.com/equities/apple-computer-inc
NVIDIA,https://www.investing.com/equities/nvidia-corp
Twitter Inc,https://www.investing.com/equities/twitter-inc
Ford Motor,https://www.investing.com/equities/ford-motor-co
Bank of America,https://www.investing.com/equities/bank-of-america
Warner Bros Discovery,https://www.investing.com/equities/discovery-holding-co
American Airlines,https://www.investing.com/equities/american-airlines-group
Microsoft,https://www.investing.com/equities/microsoft-corp
Intel,https://www.investing.com/equities/intel-corp
Occidental,https://www.investing.com/equities/occidental-petro
Wells Fargo&Co,https://www.investing.com/equities/wells-fargo
Cisco,https://www.investing.com/equities/cisco-sys-inc
Carnival Corp,https://www.investing.com/equities/carnival-corp-exch
Pfizer,https://www.investing.com/equities/pfizer
Marathon Oil,https://www.investing.com/equities/marathon-oil
Exxon Mobil,https://www.investing.com/equities/exxon-mobil
Tesla,https://www.investing.com/equities/tesla-motors
Verizon,https://www.investing.com/equities/verizon-communications
Meta Platforms,https://www.investing.com/equities/facebook-inc
Citigroup,https://www.investing.com/equities/citigroup
Micron,https://www.investing.com/equities/micron-tech
Coca-Cola,https://www.investing.com/equities/coca-cola-co
General Motors,https://www.investing.com/equities/gen-motors
Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new
Nielsen,https://www.investing.com/equities/nielsen-holdings-nv
Norwegian Cruise Line,https://www.investing.com/equities/norwegian-cruise-line-holdings-ltd
Comcast,https://www.investing.com/equities/comcast-corp-new
HP Inc,https://www.investing.com/equities/hewlett-pack
CSX,https://www.investing.com/equities/csx-corp
Kinder Morgan,https://www.investing.com/equities/kinder-morgan
JPMorgan,https://www.investing.com/equities/jp-morgan-chase
Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib
PayPal Holdings Inc,https://www.investing.com/equities/paypal-holdings-inc
Merck&Co,https://www.investing.com/equities/merck---co
Huntington Bancshares,https://www.investing.com/equities/huntgtn-bkshr
Freeport-McMoran,https://www.investing.com/equities/freeport-mcm
Qualcomm,https://www.investing.com/equities/qualcomm-inc
Hewlett Packard,https://www.investing.com/equities/hewlett-packard-enterprise-co
Halliburton,https://www.investing.com/equities/halliburton-co
Citizens Financial Group Inc,https://www.investing.com/equities/citizens-financial-group-inc
United Airlines Holdings,https://www.investing.com/equities/united-continenta
Applied Materials,https://www.investing.com/equities/applied-matls-inc
Williams,https://www.investing.com/equities/williams-cos
Chevron,https://www.investing.com/equities/chevron
Devon Energy,https://www.investing.com/equities/devon-energy
KeyCorp,https://www.investing.com/equities/keycorp-new
Walmart,https://www.investing.com/equities/wal-mart-stores
NextEra Energy,https://www.investing.com/equities/nextera-energy-inc
Kroger,https://www.investing.com/equities/kroger-co
Host Hotels Resorts,https://www.investing.com/equities/host-hotels---res
Starbucks,https://www.investing.com/equities/starbucks-corp
CarMax,https://www.investing.com/equities/carmax-inc
AbbVie,https://www.investing.com/equities/abbvie-inc
Mosaic,https://www.investing.com/equities/mosaic-company
Morgan Stanley,https://www.investing.com/equities/morgan-stanley
Regions Financial,https://www.investing.com/equities/regions-fin
Schlumberger,https://www.investing.com/equities/schlumberger-ltd
Walt Disney,https://www.investing.com/equities/disney
Altria,https://www.investing.com/equities/altria-group
Exelon,https://www.investing.com/equities/exelon-corp
PulteGroup,https://www.investing.com/equities/pulte-homes-inc
Visa A,https://www.investing.com/equities/visa-inc
U.S. Bancorp,https://www.investing.com/equities/us-bancorp
ConocoPhillips,https://www.investing.com/equities/conoco-phillips
Viatris,https://www.investing.com/equities/mylan-inc
Gilead,https://www.investing.com/equities/gilead-sciences-inc
Mondelez,https://www.investing.com/equities/mondelez-international-inc
Gap,https://www.investing.com/equities/gap.inc
